시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
울산광역시,중구,울산광역시 중구 종가로 400,한국산업안전보건공단,공공시설,공공기관,급속,DC콤보,타기관(보조금),휴맥스이브이,,DC콤보,이용가능,"35.563905,129.320519"
대전광역시,중구,대전광역시 중구 문화동 10-7,문화동 제7공영주차장,주차시설,공영주차장,급속,DC콤보,타기관,채비,,DC콤보,이용가능,"36.3148741,127.4142575"
충청북도,보은군,충청북도 보은군 삼승면 우진리 690,보은군산업단지주차장,주차시설,공영주차장,급속,DC콤보,타기관,채비,,DC콤보,이용가능,"36.4292879,127.7322245"
세종특별자치시,세종특별자치시,세종특별자치시 조치원읍 이화로 5 (신흥리     신흥주공아파트),조치원신흥주공아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"36.594500,127.292000"
제주특별자치도,서귀포시,제주특별자치도 서귀포시 서호남로 91,서귀포혁신사랑으로부영아파트(2022),공동주택시설,아파트,완속,AC완속,타기관(보조금),레드이엔지,,AC완속,이용가능,"33.253,126.522"
제주특별자치도,제주시,제주특별자치도 제주시 도령로 40,한국전기안전공사 제주지역본부,공동주택시설,사업장(사옥),완속,AC완속,타기관(보조금),채비,,AC완속,이용가능,"33.487949,126.483349"
경기도,부천시,경기도 부천시 옥산로 75,꿈마을동아(ENH),공동주택시설,아파트,완속,AC완속,타기관,이앤에이치에너지,,AC완속,이용가능,"37.50019,126.77992"
광주광역시,동구,광주광역시 동구 금남로 148,에이원타워(금남로),기타시설,기타,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"35.1532746,126.9100049"
서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크아파트,공동주택시설,아파트,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.525997425,126.96761120"
경상북도,성주군,경상북도 성주군 성주읍 성주순환로2길 68,우신탕 본가,상업시설,음식점,완속,AC완속,타기관,차지인,,AC완속,이용가능,"35.9239113,128.2849319"
경기도,부천시,경기도 부천시 원미구 소향로 165,부천아트센터,기타시설,기타,완속,AC완속,타기관,블루네트웍스,,AC완속,이용가능,"37.502881,126.765951"
강원특별자치도,원주시,강원특별자치도 원주시 무실로 380,원주무실부영사랑으로(2022),공동주택시설,아파트,완속,AC완속,타기관(보조금),레드이엔지,,AC완속,이용가능,"37.327,127.831"
경기도,포천시,경기도 포천시 가산면 너배기길 13,로젠택배 포천지점,기타시설,기타,급속,DC콤보,타기관,엘에스이링크,,DC콤보,이용가능,"37.8235455,127.183135"
제주특별자치도,제주시,"제주특별자치도 제주시 구좌읍 덕평로 365 (덕천리, 덕천리사무소)",덕천리새마을회,공공시설,지자체시설,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"33.502160,126.771474"
경상남도,밀양시,경상남도 밀양시 산외면 다원길 93,밀양시 k-water 밀양권지사,공공시설,지자체시설,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.5096705,128.8085333"
전북특별자치도,남원시,전북특별자치도 남원시 소리길 122-8,퀸즈무인호텔,상업시설,숙박시설,완속,AC완속,타기관(보조금),SK일렉링크,,AC완속,이용가능,"35.405769,127.389537"
충청북도,옥천군,충청북도 옥천군 옥천읍 옥천동이로 242-34,옥천(서울) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.2980694,127.598397"
부산광역시,금정구,부산광역시 금정구 중앙대로1841번길 24,이마트금정점,상업시설,마트(쇼핑몰),완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"35.2499,129.0906"
